Intent,Utterance
additional-coverage,What are the Additional Coverage (Top-Up) options available
additional-coverage,what are the top up options available
additional-coverage,What are the Additional Coverage options available
additional-coverage,available top up options
additional-coverage,Additional Coverage options available that are available
additional-coverage,What are the top-up options that are available
additional-coverage,what is the top up plan under mediclaim
additional-coverage,top up plan under mediclaim
additional-coverage,what is a topup plan under mediclaim
additional-coverage,topup plan under mediclaim
additional-coverage,What are the topup options that are available
additional-coverage,What are the Additional Coverage  topup options available
am-i-eligible,Am I eligible for promotion
am-i-eligible,Am I eligible for progression
am-i-eligible,Am I eligible for progression or promotion
amazing,Amazing
any-plans-for-the-weekend,Any plans for the weekend
apply,register for maternity leave
apply-for-vacancy-and-promotion,When I apply for a vacancy and get selected will i get a promotion
apply-for-vacancy-and-promotion,will i get a promotion if i get selected after applying for a vacancy
apply-leave,i want to apply leave
apply-leave,Apply Leave
apply-leave,i want to apply leave from tuesday to thursday
apply-leave,i want to apply leave
apply-leave,i want to apply leave for ond day
apply-leave,i want to apply leave from monday
apply-leave, apply leave from may 1st
apply-leave,i want to apply leave from tuesday till thursday
apply-leave,what is the procedure to apply leave
apply-leave,i want to apply leave from apr-1 to apr-3
apply-leave,i want to apply leave from next monday
apply-leave,What are the steps to apply leave
apply-leave,i want to apply  leave from 1-apr to 5-apr
apply-leave,apply leave from
apply-leave,i want to apply one day leave
apply-leave,Application for leave
apply-leave,leave application
apply-leave,leave request
apply-leave,How can I apply for leave? 
apply-leave,please book my leave
apply-leave,i want to book a leave
apply-leave,i want to book a leave tomorrow
apply-leave,i want to book a leave on 24th august
apply-leave,apply leave for five days
apply-leave,apply leave for 5 days from tomorrow
apply-leave,apply leave for five days from 23/04/2019
apply-leave,i want to book a leave on 23rd january
apply-leave,I need to take a leave
apply-leave,I need to take a leave on tomorrow
apply-leave,I need to take a leave from next friday
apply-leave,I need to take a leave on 23rd september
apply-leave,Mark Leave
apply-leave,How can I mark leave?
apply-leave,I want to get leaves?
apply-leave,Apply a day off.
apply-leave,I want to get a day off
apply-leave,I want to take off from work
apply-leave,I want to mark leaves?
apply-leave,I want to take a day off
apply-leave,I wanna take a day off
apply-leave,i said i want to take a break
apply-leave,I want to apply  leave from June 15th till June 22nd
apply-leave,apply annual leave
are-you-a-robot,Are you a robot?
are-you-an-idiot,are you an idiot
are-you-expensive,Are you expensive?
are-you-having-kids,are you having kids
are-you-human,Are you human? 
are-you-mad,are you mad
are-you-mad,you're mad
are-you-mad,you are mad
are-you-married,Are you married
are-you-married,Are you married?
are-you-my-friend,Are you my friend?
are-you-ok,Are you ok?
are-you-on-instagram,Are you on twitter
are-you-on-instagram,Are you on fb
are-you-on-instagram,Are you on instagram
are-you-real,Are you real?
are-you-single,Are you single?
are-you-smarter-than-me-greater-than,Are you smarter than me>
are-you-stupid,are you stupid
are-you-stupid,you are stupid
are-you-stupid,stupid
are-you-stupid,idiot
are-you-stupid,are you idiot
are-you-stupid,you're an idiot
are-you-stupid,you are idiot
are-you-stupid,you're stupid
are-you-stupid,you must be idiot
are-you-stupid,you idiot
are-you-stupid,you stupid
are-you-stupid,you must be stupid
arriving-at-role-banding,How did we arrive at the new bands? OR What was the rationale for reducing role bands?
arriving-at-role-banding,How did we arrive at the new bands?
arriving-at-role-banding,What was the rationale for reducing role bands?
arriving-at-role-banding,How did we arrive at the role banding?
arriving-at-role-banding,rationale behind my new band
arriving-at-role-banding,rationale behind my new role
arriving-at-role-banding,what i the reason for arriving at role banding
arriving-at-role-banding,How did we arrive at the role banding?
arriving-at-role-banding,basis for my role band 
arriving-at-role-banding,on what basis my role band was selected
arriving-at-role-banding,how is my band decided
arriving-at-role-banding,how is my role band defined
arriving-at-role-banding,how is the role band finalized
arriving-at-role-banding,how my role band decided
arriving-at-role-banding,how is my role band decided
arriving-at-role-banding,how my role band has been decided
arriving-at-role-banding,how role band is selected
arriving-at-role-banding,how role banding is decided
arriving-at-role-banding,how the role bands were decided
arriving-at-role-banding,how was role bands determined
arts,dance
arts,can u dance
arts,music
arts,sing
arts,play some music
arts,can u play with me
arts,i want to play with you
arts,play
arts,will u dance
attendance,Attendance
attendance,Where can I mark my attendance
attendance,mark my attendance
awesome,Awesome
awesome,awesum
awesome,awesme
awesome,its just awesome
awesome,you are awesome
awesome,awesome man
awesome,you're awesome
band-equivalent-role-banding,"I am right now in R1A, I should have been in R1B, with the re banding project will I be placed band equivalent to R1B or R1A."
band-equivalent-role-banding,I was hired at R1B however the role that I am doing is that of a R2A currently. Post re-banding will my role be pegged equivalent to an R2.
band-equivalent-role-banding,post re banding equivalent role?  
band-equivalent-role-banding,What is the equivalent band of R1 in the new banding structure
band-equivalent-role-banding,"What is equivalent role band, in the earlier band structure, for band Violet"
band-equivalent-role-banding,"What is equivalent role band, in the earlier band structure, for band Red"
band-equivalent-role-banding,"I am senior to my colleagues but am placed in the same band , is this a demotion"
band-equivalent-role-banding,my role as per new structure
band-equivalent-role-banding,what is my role as per new structure
band-equivalent-role-banding,what is my role as per new band structure
band-equivalent-role-banding,Where does previous R2A role fall into as per new structure
band-equivalent-role-banding,Where does previous R1A role fall into as per new structure
